value
CAP1 (1.1%)
MDS1 (1.6%)
MDS2 (1.4%)
MDS3 (1.3%)
MDS4 (1.1%)
MDS5 (1.1%)
MDS6 (1%)
MDS7 (0.9%)
MDS8 (0.9%)
MDS9 (0.7%)
